geoid_x,name,total_population,under_18_population,age_65_plus_population,asian_alone_population,black_alone_population,hispanic_or_latino_population,white_alone_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct,tract,block_group,pct_under_18,pct_65_plus,pct_hispanic,pct_asian,tract_geoid,geoid_y,food_biz_count,food_biz_per_1k,access_score,access_class,tract_lat,tract_lon
060855015021,Block Group 1; Census Tract 5015.02; Santa Clara County; California,1899,391,316,24,0,1167,620,78750,0,0,,,501502,1,20.6,16.6,61.5,1.3,06085501502,06085501502,7,1.61,11,highly_underserved,37.3374972,-121.8644026
060855015022,Block Group 2; Census Tract 5015.02; Santa Clara County; California,711,155,143,127,7,472,0,52375,0,0,,,501502,2,21.8,20.1,66.4,17.9,06085501502,06085501502,7,1.61,11,highly_underserved,37.3374972,-121.8644026
060855015023,Block Group 3; Census Tract 5015.02; Santa Clara County; California,1740,290,53,615,0,826,348,225313,0,0,,,501502,3,16.7,3.0,47.5,35.3,06085501502,06085501502,7,1.61,11,highly_underserved,37.3374972,-121.8644026
060855016011,Block Group 1; Census Tract 5016.01; Santa Clara County; California,1946,121,130,376,10,830,673,120630,0,0,,,501601,1,6.2,6.7,42.7,19.3,06085501601,06085501601,5,1.41,11,highly_underserved,37.333456,-121.8709378
060855016012,Block Group 2; Census Tract 5016.01; Santa Clara County; California,1612,244,188,193,17,833,564,125227,0,0,,,501601,2,15.1,11.7,51.7,12.0,06085501601,06085501601,5,1.41,11,highly_underserved,37.333456,-121.8709378
060855016021,Block Group 1; Census Tract 5016.02; Santa Clara County; California,612,198,0,34,36,479,87,-666666666,0,0,,,501602,1,32.4,0.0,78.3,5.6,06085501602,06085501602,12,4.12,10,highly_underserved,37.3293246,-121.8781864
060855016022,Block Group 2; Census Tract 5016.02; Santa Clara County; California,705,55,77,66,33,367,210,82875,0,0,,,501602,2,7.8,10.9,52.1,9.4,06085501602,06085501602,12,4.12,10,highly_underserved,37.3293246,-121.8781864
060855016023,Block Group 3; Census Tract 5016.02; Santa Clara County; California,1594,102,204,246,51,670,517,70096,0,0,,,501602,3,6.4,12.8,42.0,15.4,06085501602,06085501602,12,4.12,10,highly_underserved,37.3293246,-121.8781864
060855017001,Block Group 1; Census Tract 5017; Santa Clara County; California,910,176,19,177,64,425,163,137560,0,0,,,501700,1,19.3,2.1,46.7,19.5,06085501700,06085501700,42,8.62,8,underserved,37.3231579,-121.8864264
060855017002,Block Group 2; Census Tract 5017; Santa Clara County; California,644,131,110,26,0,541,42,94167,0,0,,,501700,2,20.3,17.1,84.0,4.0,06085501700,06085501700,42,8.62,8,underserved,37.3231579,-121.8864264
060855017003,Block Group 3; Census Tract 5017; Santa Clara County; California,1603,560,34,69,21,1392,187,73125,0,0,,,501700,3,34.9,2.1,86.8,4.3,06085501700,06085501700,42,8.62,8,underserved,37.3231579,-121.8864264
060855017004,Block Group 4; Census Tract 5017; Santa Clara County; California,1714,291,124,1,6,1454,596,101563,0,0,,,501700,4,17.0,7.2,84.8,0.1,06085501700,06085501700,42,8.62,8,underserved,37.3231579,-121.8864264
060855018001,Block Group 1; Census Tract 5018; Santa Clara County; California,783,87,213,40,0,496,236,-666666666,0,0,,,501800,1,11.1,27.2,63.3,5.1,06085501800,06085501800,15,3.13,6,underserved,37.3163695,-121.8965524
060855018002,Block Group 2; Census Tract 5018; Santa Clara County; California,1664,400,166,241,11,1093,446,106212,0,0,,,501800,2,24.0,10.0,65.7,14.5,06085501800,06085501800,15,3.13,6,underserved,37.3163695,-121.8965524
060855018003,Block Group 3; Census Tract 5018; Santa Clara County; California,824,164,77,53,0,340,600,187019,0,0,,,501800,3,19.9,9.3,41.3,6.4,06085501800,06085501800,15,3.13,6,underserved,37.3163695,-121.8965524
