geoid,tract,block_group,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
60855035063,503506,3,2329,821,328,54,180,102,1998,86406,0,0,,
60855035071,503507,1,2290,461,348,50,18,797,1423,168716,0,0,,
60855035081,503508,1,2112,467,378,25,157,313,1531,111806,0,0,,
60855035082,503508,2,1581,387,173,164,36,565,578,134038,0,0,,
60855035083,503508,3,2286,548,235,430,69,135,2027,132083,0,0,,
60855035091,503509,1,2138,717,207,62,28,478,1574,166250,0,0,,
60855035092,503509,2,1852,382,326,183,123,805,851,133750,0,0,,
60855035101,503510,1,1889,529,63,268,3,161,1476,122098,0,0,,
60855035102,503510,2,789,89,100,163,0,288,301,184444,0,0,,
60855035103,503510,3,1592,323,281,172,0,408,966,122300,0,0,,
60855035111,503511,1,1672,326,378,64,103,1045,499,136111,0,0,,
60855035112,503511,2,1888,401,246,197,8,617,1096,108958,0,0,,
60855036011,503601,1,1538,275,249,235,47,387,869,120650,0,0,,
60855036012,503601,2,1986,568,154,643,38,277,1238,90227,0,0,,
60855036021,503602,1,1333,338,189,99,5,256,973,102759,0,0,,
60855036022,503602,2,1932,399,477,48,18,798,1057,98750,0,0,,
60855036023,503602,3,1611,532,196,138,82,473,1056,98304,0,0,,
60855037031,503703,1,1642,404,231,144,0,321,1307,99583,0,0,,
60855037032,503703,2,2216,445,216,21,128,602,1479,109444,0,0,,
60855037071,503707,1,1732,238,214,209,64,672,951,128873,0,0,,
60855037072,503707,2,1821,396,289,99,21,1152,575,92054,0,0,,
60855037073,503707,3,1112,117,129,88,56,196,675,71600,0,0,,
60855037081,503708,1,2530,445,434,212,2,1703,521,103446,0,0,,
60855037091,503709,1,3855,1008,648,216,322,1948,1086,91696,0,0,,
60855037092,503709,2,887,117,281,89,0,561,208,46404,0,0,,
60855037093,503709,3,1120,50,366,37,1,1035,47,-666666666,0,0,,
60855037101,503710,1,1553,354,339,47,0,593,801,33750,0,0,,
60855037102,503710,2,1493,308,294,210,0,568,773,55769,0,0,,
60855037111,503711,1,789,144,51,42,1,387,351,79886,0,0,,
60855037112,503711,2,1731,490,198,158,0,604,1104,108287,0,0,,
60855037113,503711,3,1503,418,204,73,15,198,1213,113929,0,0,,
60855037121,503712,1,772,190,74,12,0,371,389,76579,0,0,,
60855037122,503712,2,1165,239,310,71,35,351,759,46766,0,0,,
60855037123,503712,3,1833,262,646,130,21,1003,656,50160,0,0,,
60855037131,503713,1,2371,618,345,110,163,825,1326,68087,0,0,,
60855037132,503713,2,711,236,44,29,0,207,475,85673,0,0,,
60855038021,503802,1,1079,119,342,48,0,1031,12,236563,0,0,,
60855038022,503802,2,1936,468,186,145,124,658,941,113795,0,0,,
60855038023,503802,3,1437,299,242,291,58,395,714,117549,0,0,,
60855038024,503802,4,3195,998,508,282,1,979,1391,94091,0,0,,
60855038031,503803,1,2421,653,338,120,26,1097,1093,195156,0,0,,
60855038032,503803,2,1520,314,198,172,95,965,405,149438,0,0,,
60855038033,503803,3,1447,173,273,234,42,912,192,199625,0,0,,
60855038041,503804,1,2279,345,508,310,52,1146,648,153611,0,0,,
60855038042,503804,2,1735,200,174,35,87,829,852,79688,0,0,,
60855038043,503804,3,2217,381,389,353,93,1629,185,169167,0,0,,
60855039021,503902,1,1864,384,191,278,0,449,1229,130625,0,0,,
60855039022,503902,2,1051,296,75,239,0,52,895,128813,0,0,,
60855039023,503902,3,1580,191,332,296,0,763,655,136771,0,0,,
60855039024,503902,4,1692,477,190,327,28,256,1119,96125,0,0,,
60855039031,503903,1,1642,199,339,228,6,1014,377,128597,0,0,,
60855039032,503903,2,1269,254,151,171,91,344,662,163023,0,0,,
60855040011,504001,1,1596,390,182,169,11,208,1355,121359,0,0,,
60855040012,504001,2,1869,226,358,236,0,671,1068,118750,0,0,,
60855040013,504001,3,1408,236,242,125,37,358,922,59922,0,0,,
60855040021,504002,1,2634,607,360,340,17,1056,1375,91573,0,0,,
60855040022,504002,2,1545,508,82,182,0,158,1387,150764,0,0,,
60855040023,504002,3,2197,339,224,227,0,972,1032,84702,0,0,,
60855041011,504101,1,1287,170,288,263,29,396,756,154861,0,0,,
60855041012,504101,2,1170,256,268,109,0,100,933,106406,0,0,,
60855041013,504101,3,1171,244,212,236,10,387,495,144479,0,0,,
60855041021,504102,1,2325,433,404,215,0,751,1378,188295,0,0,,
60855041022,504102,2,1931,445,276,208,0,491,1095,157986,0,0,,
60855041023,504102,3,1017,133,249,36,0,376,616,77283,0,0,,
60855042011,504201,1,3041,733,412,1137,118,959,589,161553,0,0,,
60855042012,504201,2,1596,302,397,361,22,922,195,250001,0,0,,
60855042013,504201,3,1383,212,190,482,87,509,330,207143,0,0,,
60855042021,504202,1,710,117,239,250,24,307,95,195227,0,0,,
60855042022,504202,2,2082,364,380,556,79,620,827,228472,0,0,,
60855042023,504202,3,1359,142,298,462,51,553,325,233026,0,0,,
60855043071,504307,1,2487,509,312,121,22,1779,569,154322,0,0,,
60855043072,504307,2,3229,660,670,624,13,1912,803,161184,0,0,,
60855043081,504308,1,2007,487,239,406,37,1013,306,250001,0,0,,
60855043082,504308,2,1179,77,314,275,0,808,65,73542,0,0,,
60855043083,504308,3,1712,325,367,427,32,893,445,250001,0,0,,
60855043111,504311,1,2646,396,400,708,0,1785,134,202981,0,0,,
60855043112,504311,2,1862,197,419,77,11,1737,79,216736,0,0,,
60855043113,504311,3,2894,301,35,74,197,1970,532,153691,0,0,,
60855043114,504311,4,1448,290,370,32,16,1235,157,170945,0,0,,
60855043141,504314,1,1169,197,180,89,17,728,267,168833,0,0,,
60855043142,504314,2,1388,343,163,27,46,1127,157,250001,0,0,,
