business_id,name,address,city,postal_code,lat,lon,tract_geoid,median_household_income,poverty_rate_pct,access_class,access_score
PR0306124,ROTTEN ROBBIE #38,4962 ALMADEN EX,San Jose,95118,37.259787,-121.876034,06085512024,136168,8.8,underserved,7
PR0306126,HOMEWOOD SUITES,10 W TRIMBLE RD,San Jose,95131,37.384898,-121.928827,06085505006,240086,6.6,moderate,4
PR0306127,SAP CENTER - C102 - BAR AND CARVING STATION,525 W SANTA CLARA ST,San Jose,95113,37.3341179,-121.90303,06085500300,107431,9.6,underserved,7
PR0306128,SAP CENTER - C115 - BAR AND FOOD STATION,525 W SANTA CLARA ST,San Jose,95113,37.3341179,-121.90303,06085500300,107431,9.6,underserved,7
PR0306131,KAMAKURA,135 N SANTA CRUZ AV,Los Gatos,95030,37.225564,-121.982808,06085507004,175347,8.3,moderate,5
PR0306136,"ZONA ROSA, LLC",81 W MAIN ST,Los Gatos,95030,37.2223032,-121.9834324,06085507004,175347,8.3,moderate,5
PR0306138,DUMPLING HOURS,530 BRYANT ST,Palo Alto,94301,37.4455121,-122.1610285,06085511302,139167,18.2,underserved,8
PR0306141,JON JONS BARBEQUE,1305 OLD OAKLAND RD,San Jose,95112,37.3674987,-121.8925255,06085504318,106535,14.6,underserved,7
PR0306142,SCVCC - KITCHEN (UPSTAIRS),5460 COUNTRY CLUB PY,San Jose,95138,37.27772,-121.771501,06085503338,250001,1.6,moderate,3
PR0306143,TAPIOCA EXPRESS,2285 MCKEE RD,San Jose,95116,37.365266,-121.850691,06085503708,103446,11.9,highly_underserved,9
PR0306145,LY'S KITCHEN,2635 SENTER RD,San Jose,95111,37.3029326,-121.842901,06085503221,49323,23.2,highly_underserved,9
PR0306155,STARBUCK'S COFFEE #571,296 MAIN ST,Los Altos,94022,37.378587,-122.116729,06085510300,250001,3.2,well_served,1
PR0306161,CVS/PHARMACY #9337,6910 ALMADEN EX,San Jose,95120,37.33456,-121.892872,06085500800,151357,10.9,underserved,8
PR0306162,SPRING VALLEY GOLF COURSE-SNACK,3441 CALAVERAS BL,Milpitas,95035,37.447589,-121.850245,06085504424,153333,5.0,underserved,7
PR0306163,ST JOSEPH CUPERTINO CHURCH,10110 N DE ANZA BL,Cupertino,95014,37.324204,-122.032001,06085508101,250001,0.8,well_served,0
PR0306167,LA FONDUE,14550 BIG BASIN WY,Saratoga,95070,37.256379,-122.034634,06085507302,250001,4.7,well_served,1
PR0306171,KING'S SEAFOOD CENTER III,425 E EL CAMINO REAL,Sunnyvale,94086,37.364564,-122.028003,06085508509,161270,9.2,underserved,8
PR0306172,MUSLIM COMMUNITY ASSOCIATION,3003 SCOTT BL,Santa Clara,95054,37.3770953,-121.959451,06085505202,164928,19.1,underserved,8
PR0306174,HUNG VUONG TOFU,1741 BERRYESSA RD # B,San Jose,95131,37.3726521,-121.874825,06085504311,173106,4.1,moderate,4
PR0306176,SANTA CLARA UNIFIED SCHOOL DIST,1889 LAWRENCE RD,Santa Clara,95051,37.356242,-121.995626,06085505305,205550,6.3,moderate,5
PR0306180,KINGWUU,1715 LUNDY AV # 162,San Jose,95131,37.3879826999,-121.8873133,06085504322,167583,14.2,moderate,5
