geoid,name,state,county,tract,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
06085503111,Census Tract 5031.11; Santa Clara County; California,06,085,503111,5418,1425,839,200,0,181,3,133628,1123,14,1.25,7.0
06085503112,Census Tract 5031.12; Santa Clara County; California,06,085,503112,3978,671,497,784,0,557,33,76156,1521,242,15.91,21.7
06085503113,Census Tract 5031.13; Santa Clara County; California,06,085,503113,4028,758,504,864,40,633,20,95625,1308,171,13.07,4.6
06085503116,Census Tract 5031.16; Santa Clara County; California,06,085,503116,6396,1107,1175,2174,0,1775,368,109509,2349,170,7.24,7.9
06085503117,Census Tract 5031.17; Santa Clara County; California,06,085,503117,2602,617,425,75,0,33,7,79205,665,69,10.38,10.2
06085503118,Census Tract 5031.18; Santa Clara County; California,06,085,503118,4955,1078,275,409,0,325,0,98527,1458,0,0.0,7.0
06085503121,Census Tract 5031.21; Santa Clara County; California,06,085,503121,5073,1397,611,399,0,280,152,92607,1429,111,7.77,13.3
06085503122,Census Tract 5031.22; Santa Clara County; California,06,085,503122,3345,729,584,335,0,190,20,46371,1234,391,31.69,20.4
06085503123,Census Tract 5031.23; Santa Clara County; California,06,085,503123,3872,841,511,818,0,536,247,65525,1635,207,12.66,12.7
06085503124,Census Tract 5031.24; Santa Clara County; California,06,085,503124,6075,1642,644,1178,0,885,486,124229,1727,32,1.85,15.6
06085503125,Census Tract 5031.25; Santa Clara County; California,06,085,503125,4082,992,238,1775,0,1457,63,160833,1482,69,4.66,9.5
06085503126,Census Tract 5031.26; Santa Clara County; California,06,085,503126,3964,1108,335,1077,0,897,46,178929,1354,96,7.09,11.8
06085503127,Census Tract 5031.27; Santa Clara County; California,06,085,503127,5300,754,682,1241,12,956,248,191908,2293,67,2.92,7.4
06085503207,Census Tract 5032.07; Santa Clara County; California,06,085,503207,3446,523,823,396,0,251,15,145278,934,19,2.03,9.4
06085503208,Census Tract 5032.08; Santa Clara County; California,06,085,503208,3182,694,423,539,0,261,14,163558,709,10,1.41,17.0
06085503210,Census Tract 5032.10; Santa Clara County; California,06,085,503210,4067,601,525,357,0,265,174,120729,947,19,2.01,3.0
06085503211,Census Tract 5032.11; Santa Clara County; California,06,085,503211,4651,943,802,480,0,417,80,104677,1180,26,2.2,8.6
06085503212,Census Tract 5032.12; Santa Clara County; California,06,085,503212,4226,678,780,273,0,249,6,128750,1015,63,6.21,6.3
06085503213,Census Tract 5032.13; Santa Clara County; California,06,085,503213,4920,1263,645,244,0,160,23,72174,1282,96,7.49,15.9
06085503217,Census Tract 5032.17; Santa Clara County; California,06,085,503217,3669,979,397,340,0,115,14,81786,954,52,5.45,5.5
