geoid,name,state,county,tract,block_group,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
060855119113,Block Group 3; Census Tract 5119.11; Santa Clara County; California,06,085,511911,3,1909,345,358,984,0,562,85,247242,0,0,,
060855119121,Block Group 1; Census Tract 5119.12; Santa Clara County; California,06,085,511912,1,2322,569,447,935,0,1174,157,231286,0,0,,
060855119122,Block Group 2; Census Tract 5119.12; Santa Clara County; California,06,085,511912,2,1318,313,301,513,0,724,84,211875,0,0,,
060855119123,Block Group 3; Census Tract 5119.12; Santa Clara County; California,06,085,511912,3,1646,309,214,406,0,948,162,250001,0,0,,
060855119131,Block Group 1; Census Tract 5119.13; Santa Clara County; California,06,085,511913,1,1082,111,271,881,0,147,0,250001,0,0,,
060855119132,Block Group 2; Census Tract 5119.13; Santa Clara County; California,06,085,511913,2,1729,498,265,1047,27,389,258,250001,0,0,,
060855119133,Block Group 3; Census Tract 5119.13; Santa Clara County; California,06,085,511913,3,1471,493,224,811,0,350,235,250001,0,0,,
060855119141,Block Group 1; Census Tract 5119.14; Santa Clara County; California,06,085,511914,1,2171,755,301,678,8,1003,89,250001,0,0,,
060855119142,Block Group 2; Census Tract 5119.14; Santa Clara County; California,06,085,511914,2,2468,445,692,1524,2,561,204,250001,0,0,,
060855119143,Block Group 3; Census Tract 5119.14; Santa Clara County; California,06,085,511914,3,1648,353,231,776,46,603,100,218563,0,0,,
060855119151,Block Group 1; Census Tract 5119.15; Santa Clara County; California,06,085,511915,1,1493,446,241,679,0,607,199,186442,0,0,,
060855119152,Block Group 2; Census Tract 5119.15; Santa Clara County; California,06,085,511915,2,1136,332,63,38,0,43,989,61394,0,0,,
060855119153,Block Group 3; Census Tract 5119.15; Santa Clara County; California,06,085,511915,3,1125,399,228,503,0,115,668,20952,0,0,,
060855119161,Block Group 1; Census Tract 5119.16; Santa Clara County; California,06,085,511916,1,2027,434,369,707,207,542,467,145074,0,0,,
060855119162,Block Group 2; Census Tract 5119.16; Santa Clara County; California,06,085,511916,2,2456,645,322,1126,8,1040,183,238750,0,0,,
060855119171,Block Group 1; Census Tract 5119.17; Santa Clara County; California,06,085,511917,1,2218,355,365,867,86,1059,143,250001,0,0,,
060855119172,Block Group 2; Census Tract 5119.17; Santa Clara County; California,06,085,511917,2,667,164,104,62,5,564,0,250001,0,0,,
