geoid,name,total_population,median_household_income,poverty_rate_pct,households_no_vehicle_pct,total_food_businesses,fresh_food_businesses,limited_fresh_food_businesses,restaurant_businesses,fresh_food_share,fresh_food_per_1000_people,food_access_priority_score
06085503903,Census Tract 5039.03; Santa Clara County; California,2911,131806,9.0,6.49,13,0,0,2,0.0,0.0,7.3215
06085508005,Census Tract 5080.05; Santa Clara County; California,3835,206389,5.4,11.74,32,1,0,9,0.03125,0.2607561929595828,7.306
06085504802,Census Tract 5048.02; Santa Clara County; California,4506,116525,8.3,7.26,16,0,3,7,0.0,0.0,7.276
06085505010,Census Tract 5050.10; Santa Clara County; California,4756,202663,9.9,7.84,213,20,1,83,0.09389671361502347,4.205214465937763,7.24656
06085508508,Census Tract 5085.08; Santa Clara County; California,5873,133065,10.3,4.1,11,1,1,3,0.09090909090909091,0.17027073046143368,7.2446
06085508503,Census Tract 5085.03; Santa Clara County; California,6020,167763,8.0,9.91,42,7,1,7,0.16666666666666666,1.1627906976744187,7.2405
06085512039,Census Tract 5120.39; Santa Clara County; California,5717,134158,11.9,3.62,15,2,0,2,0.13333333333333333,0.34983382893125764,7.1937
06085511707,Census Tract 5117.07; Santa Clara County; California,3047,203068,5.9,10.09,7,0,0,1,0.0,0.0,7.1865000000000006
06085504507,Census Tract 5045.07; Santa Clara County; California,6052,163724,6.4,11.0,39,3,1,9,0.07692307692307693,0.495703899537343,7.133466666666667
06085504422,Census Tract 5044.22; Santa Clara County; California,3440,141111,9.7,5.9,30,1,0,3,0.03333333333333333,0.29069767441860467,7.117999999999999
06085507905,Census Tract 5079.05; Santa Clara County; California,6596,141429,3.8,14.17,25,3,1,6,0.12,0.45482110369921164,7.109233333333332
06085513500,Census Tract 5135; Santa Clara County; California,1009,102750,15.3,0.0,9,1,1,2,0.1111111111111111,0.9910802775024777,7.0868
06085503337,Census Tract 5033.37; Santa Clara County; California,4409,159904,7.6,7.92,6,1,0,0,0.16666666666666666,0.22680880018144703,7.0738
06085503325,Census Tract 5033.25; Santa Clara County; California,4478,145991,14.8,0.8,24,7,3,4,0.2916666666666667,1.5631978561857973,7.0679428571428575
06085504411,Census Tract 5044.11; Santa Clara County; California,5553,166354,11.9,2.01,4,0,0,0,0.0,0.0,7.0585
06085501200,Census Tract 5012; Santa Clara County; California,4163,108913,13.5,1.98,4,3,0,1,0.75,0.720634158059092,7.045533333333333
06085512512,Census Tract 5125.12; Santa Clara County; California,3406,101793,12.0,1.73,3,0,0,0,0.0,0.0,7.0055000000000005
06085504806,Census Tract 5048.06; Santa Clara County; California,2753,158750,3.5,14.65,9,2,0,1,0.2222222222222222,0.726480203414457,6.977799999999999
06085501501,Census Tract 5015.01; Santa Clara County; California,4403,81859,8.9,5.9,4,1,0,1,0.25,0.2271178741766977,6.9506000000000006
06085504412,Census Tract 5044.12; Santa Clara County; California,4928,149659,7.7,7.1,12,0,0,5,0.0,0.0,6.95
06085509403,Census Tract 5094.03; Santa Clara County; California,4115,177847,8.7,6.29,17,1,2,3,0.058823529411764705,0.24301336573511542,6.9395
06085503315,Census Tract 5033.15; Santa Clara County; California,7822,152083,6.9,6.44,21,1,2,6,0.047619047619047616,0.12784454103809767,6.9234
06085503508,Census Tract 5035.08; Santa Clara County; California,5979,125469,10.3,3.12,6,1,1,1,0.16666666666666666,0.16725204883759826,6.9228000000000005
06085506402,Census Tract 5064.02; Santa Clara County; California,5257,121413,8.6,7.2,13,2,0,3,0.15384615384615385,0.38044512079132586,6.9157
06085503125,Census Tract 5031.25; Santa Clara County; California,4082,160833,9.5,4.66,1,0,0,0,0.0,0.0,6.906000000000001
06085503313,Census Tract 5033.13; Santa Clara County; California,4449,250001,12.1,1.18,1,0,0,0,0.0,0.0,6.8580000000000005
06085509111,Census Tract 5091.11; Santa Clara County; California,4643,135398,7.6,6.89,5,0,1,2,0.0,0.0,6.8315
06085504506,Census Tract 5045.06; Santa Clara County; California,7188,164879,6.3,9.26,31,2,1,12,0.06451612903225806,0.27824151363383415,6.7947999999999995
06085512056,Census Tract 5120.56; Santa Clara County; California,3807,123674,8.3,5.84,1,0,0,0,0.0,0.0,6.779
06085510900,Census Tract 5109; Santa Clara County; California,4431,183536,2.1,13.69,8,0,0,1,0.0,0.0,6.7364999999999995
06085512021,Census Tract 5120.21; Santa Clara County; California,5782,148548,8.5,5.39,3,0,0,2,0.0,0.0,6.7115
