geoid,name,total_population,median_household_income,poverty_rate_pct,households_no_vehicle_pct,total_food_businesses,fresh_food_businesses,limited_fresh_food_businesses,restaurant_businesses,fresh_food_share,fresh_food_per_1000_people,food_access_priority_score,limited_fresh_food_per_1000_people,restaurant_per_1000_people,fresh_food_access_raw,fresh_food_access_score,access_vulnerability_score,priority_area_flag,access_label
06085504320,Census Tract 5043.20; Santa Clara County; California,2990,183571,13.8,5.74,0,0,0,0,,0.0,9.219,0.0,0.0,0.22955535378946537,14.5,85.5,True,Highest access vulnerability
06085503208,Census Tract 5032.08; Santa Clara County; California,3182,163558,17.0,1.41,3,0,1,1,0.0,0.0,9.1435,0.3142677561282212,0.3142677561282212,0.2226440508003994,11.3,88.7,True,Highest access vulnerability
06085502002,Census Tract 5020.02; Santa Clara County; California,4985,117969,12.8,8.2,8,2,0,0,0.25,0.4012036108324975,9.1285,0.0,0.0,0.24884167612688546,23.8,76.2,False,Lower fresh-food access
06085501402,Census Tract 5014.02; Santa Clara County; California,2703,94491,15.4,6.08,13,8,0,1,0.6153846153846154,2.959674435812061,9.125575,0.0,0.3699593044765076,0.5820106728911719,97.8,2.2,False,Strong fresh-food access
06085505013,Census Tract 5050.13; Santa Clara County; California,5637,215775,5.7,15.34,2,1,0,0,0.5,0.17739932588256166,9.0614,0.0,0.0,0.2649320810053416,36.8,63.2,False,Lower fresh-food access
06085504413,Census Tract 5044.13; Santa Clara County; California,1963,155982,7.2,15.92,12,2,0,4,0.1666666666666666,1.0188487009679064,9.008300000000002,0.0,2.0376974019358127,0.34541655834287754,79.4,20.6,False,Above-average fresh-food access
06085512054,Census Tract 5120.54; Santa Clara County; California,4457,105292,12.0,7.45,0,0,0,0,,0.0,9.0075,0.0,0.0,0.1917481615477591,3.7,96.3,True,Highest access vulnerability
06085505901,Census Tract 5059.01; Santa Clara County; California,4101,182763,4.9,18.77,24,4,1,4,0.1666666666666666,0.9753718605218239,8.97955,0.24384296513045597,0.9753718605218239,0.3510516717243379,81.1,18.9,False,Strong fresh-food access
06085503601,Census Tract 5036.01; Santa Clara County; California,3524,98021,13.9,7.35,23,5,1,6,0.217391304347826,1.4188422247446084,8.96846,0.28376844494892167,1.7026106696935301,0.37612333258016384,84.6,15.4,False,Strong fresh-food access
06085503121,Census Tract 5031.21; Santa Clara County; California,5073,92607,13.3,7.77,46,4,0,9,0.0869565217391304,0.7884880741178789,8.95815,0.0,1.7740981667652276,0.28876645104602994,52.9,47.1,False,Moderate fresh-food access
